student_id,registration_date,age,gender,education_level,device_type,target_course_id,course_title,category,completion_status,avg_session_duration,sessions_per_week,quiz_average,course_progress,engagement_score,dropout_risk_level
S0032,2026-01-08 00:00:00,24,Female,Undergraduate,Laptop,C004,Web Development,Development,Completed,60.0,0.18,93.4,25.0,47.82,Moderate
S0033,2026-01-09 00:00:00,20,Male,High School,Desktop,C001,Python for Data Science,Data Science,In Progress,0.0,0.0,83.15,50.0,33.75,Moderate
S0034,2026-01-09 00:00:00,32,Other,Undergraduate,Tablet,C004,Web Development,Development,In Progress,60.0,0.37,0.0,0.0,22.31,High
S0035,2026-01-09 00:00:00,41,Female,Postgraduate,Desktop,C002,SQL Database Analytics,Database,In Progress,60.0,0.09,68.1,20.0,46.66,Moderate
S0036,2026-01-09 00:00:00,19,Other,High School,Desktop,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,60.0,0.18,98.4,12.5,46.28,Moderate
S0037,2026-01-10 00:00:00,41,Male,Undergraduate,Laptop,C003,Machine Learning Fundamentals,AI & Machine Learning,Dropped,60.0,0.37,56.55,12.5,37.56,Moderate
S0038,2026-01-10 00:00:00,40,Male,High School,Desktop,C002,SQL Database Analytics,Database,Completed,60.0,0.47,80.56,80.0,61.16,Moderate
S0039,2026-01-10 00:00:00,25,Other,Undergraduate,Laptop,C002,SQL Database Analytics,Database,Completed,60.0,0.37,67.2,20.0,53.31,Moderate
S0040,2026-01-10 00:00:00,35,Other,Undergraduate,Desktop,C003,Machine Learning Fundamentals,AI & Machine Learning,In Progress,60.0,0.19,0.0,0.0,21.19,High
S0041,2026-01-11 00:00:00,22,Female,Postgraduate,Tablet,C001,Python for Data Science,Data Science,Completed,60.0,0.19,65.1,16.67,47.79,Moderate
S0042,2026-01-11 00:00:00,38,Other,High School,Tablet,C003,Machine Learning Fundamentals,AI & Machine Learning,Dropped,60.0,0.28,75.93,37.5,55.46,Moderate
S0043,2026-01-11 00:00:00,36,Other,High School,Tablet,C001,Python for Data Science,Data Science,Dropped,60.0,0.28,56.95,33.33,55.87,Moderate
S0044,2026-01-11 00:00:00,27,Female,Undergraduate,Desktop,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,60.0,0.28,78.68,50.0,61.75,Low
S0045,2026-01-12 00:00:00,19,Other,Postgraduate,Mobile,C003,Machine Learning Fundamentals,AI & Machine Learning,Dropped,60.0,0.48,0.0,0.0,20.9,High
S0046,2026-01-12 00:00:00,44,Male,Postgraduate,Laptop,C001,Python for Data Science,Data Science,Completed,0.0,0.0,72.75,33.33,35.0,Moderate
S0047,2026-01-12 00:00:00,30,Male,High School,Desktop,C004,Web Development,Development,In Progress,60.0,0.77,0.0,0.0,24.51,Moderate
S0048,2026-01-12 00:00:00,42,Other,High School,Laptop,C002,SQL Database Analytics,Database,Completed,60.0,0.19,84.43,60.0,64.19,Low
S0049,2026-01-13 00:00:00,36,Female,Postgraduate,Desktop,C004,Web Development,Development,Dropped,60.0,0.58,83.95,25.0,43.62,Moderate
S0050,2026-01-13 00:00:00,39,Male,High School,Mobile,C001,Python for Data Science,Data Science,Completed,60.0,0.19,79.3,33.33,51.13,Moderate
