customer_id,product,amount,transaction_date,day_of_week,day_num,hour,month,month_name,is_weekend,week_num,year,days_since_last_purchase,recency_segment
C010,Sports,497.62,2024-10-17 01:03:45,Thursday,3,1,10,October,0,42,2024,5,Active (<=30 days)
C015,Books,231.23,2024-07-11 13:17:44,Thursday,3,13,7,July,0,28,2024,8,Active (<=30 days)
C008,Electronics,175.66,2025-03-06 05:50:44,Thursday,3,5,3,March,0,10,2025,13,Active (<=30 days)
C008,Books,117.91,2024-02-25 03:24:25,Sunday,6,3,2,February,1,8,2024,13,Active (<=30 days)
C002,Clothing,43.03,2024-01-25 09:34:47,Thursday,3,9,1,January,0,4,2024,159,Churned (>90 days)
C011,Electronics,261.94,2024-08-04 07:11:32,Sunday,6,7,8,August,1,31,2024,25,Active (<=30 days)
C016,Clothing,274.22,2025-03-19 13:00:53,Wednesday,2,13,3,March,0,12,2025,10,Active (<=30 days)
C019,Sports,129.07,2025-01-02 08:51:16,Thursday,3,8,1,January,0,1,2025,18,Active (<=30 days)
C014,Clothing,56.22,2024-11-30 19:22:35,Saturday,5,19,11,November,1,48,2024,53,At-risk (31-90 days)
C012,Sports,211.44,2024-02-12 01:49:26,Monday,0,1,2,February,0,7,2024,33,At-risk (31-90 days)
C004,Electronics,207.28,2024-09-20 13:03:32,Friday,4,13,9,September,0,38,2024,19,Active (<=30 days)
C004,Clothing,103.88,2025-02-20 13:05:27,Thursday,3,13,2,February,0,8,2025,19,Active (<=30 days)
C015,Clothing,216.72,2024-08-04 08:27:28,Sunday,6,8,8,August,1,31,2024,8,Active (<=30 days)
C015,Clothing,438.5,2024-02-28 13:16:34,Wednesday,2,13,2,February,0,9,2024,8,Active (<=30 days)
C015,Books,57.98,2025-02-23 21:17:22,Sunday,6,21,2,February,1,8,2025,8,Active (<=30 days)
C001,Electronics,463.92,2024-07-02 14:25:59,Tuesday,1,14,7,July,0,27,2024,16,Active (<=30 days)
C006,Sports,247.96,2024-06-15 00:32:18,Saturday,5,0,6,June,1,24,2024,27,Active (<=30 days)
C013,Electronics,90.67,2024-01-02 16:10:44,Tuesday,1,16,1,January,0,1,2024,4,Active (<=30 days)
C013,Home Appliances,463.99,2024-12-19 09:58:14,Thursday,3,9,12,December,0,51,2024,4,Active (<=30 days)
C010,Sports,351.33,2025-03-07 16:16:20,Friday,4,16,3,March,0,10,2025,5,Active (<=30 days)
C016,Clothing,103.05,2024-06-18 02:14:19,Tuesday,1,2,6,June,0,25,2024,10,Active (<=30 days)
C002,Books,370.51,2024-02-17 08:19:53,Saturday,5,8,2,February,1,7,2024,159,Churned (>90 days)
C011,Electronics,34.57,2025-01-05 07:58:55,Sunday,6,7,1,January,1,1,2025,25,Active (<=30 days)
C017,Books,87.14,2025-01-29 10:36:33,Wednesday,2,10,1,January,0,5,2025,34,At-risk (31-90 days)
C003,Clothing,43.58,2024-02-22 18:52:56,Thursday,3,18,2,February,0,8,2024,41,At-risk (31-90 days)
C008,Sports,68.74,2025-03-18 11:31:09,Tuesday,1,11,3,March,0,12,2025,13,Active (<=30 days)
C008,Books,301.31,2024-03-04 16:16:53,Monday,0,16,3,March,0,10,2024,13,Active (<=30 days)
C014,Books,286.96,2024-09-02 17:33:40,Monday,0,17,9,September,0,36,2024,53,At-risk (31-90 days)
C009,Clothing,338.17,2024-09-01 00:48:42,Sunday,6,0,9,September,1,35,2024,15,Active (<=30 days)
C008,Home Appliances,203.94,2024-08-21 00:21:03,Wednesday,2,0,8,August,0,34,2024,13,Active (<=30 days)
C015,Home Appliances,465.22,2024-02-26 08:18:06,Monday,0,8,2,February,0,9,2024,8,Active (<=30 days)
C001,Sports,314.37,2025-03-13 06:57:43,Thursday,3,6,3,March,0,11,2025,16,Active (<=30 days)
C004,Electronics,273.44,2025-01-27 22:22:27,Monday,0,22,1,January,0,5,2025,19,Active (<=30 days)
C009,Clothing,467.3,2024-02-23 10:21:46,Friday,4,10,2,February,0,8,2024,15,Active (<=30 days)
C008,Home Appliances,149.64,2024-12-06 08:21:08,Friday,4,8,12,December,0,49,2024,13,Active (<=30 days)
C018,Home Appliances,309.72,2025-02-14 20:10:09,Friday,4,20,2,February,0,7,2025,1,Active (<=30 days)
C001,Books,156.7,2024-03-21 10:59:32,Thursday,3,10,3,March,0,12,2024,16,Active (<=30 days)
C005,Home Appliances,66.56,2024-03-24 03:17:42,Sunday,6,3,3,March,1,12,2024,36,At-risk (31-90 days)
C018,Clothing,143.45,2024-06-12 14:25:16,Wednesday,2,14,6,June,0,24,2024,1,Active (<=30 days)
C011,Clothing,346.87,2024-07-24 01:00:59,Wednesday,2,1,7,July,0,30,2024,25,Active (<=30 days)
C017,Sports,133.05,2024-02-09 10:57:36,Friday,4,10,2,February,0,6,2024,34,At-risk (31-90 days)
C003,Sports,416.38,2024-02-04 05:50:12,Sunday,6,5,2,February,1,5,2024,41,At-risk (31-90 days)
C001,Home Appliances,387.85,2024-07-22 11:12:00,Monday,0,11,7,July,0,30,2024,16,Active (<=30 days)
C006,Sports,280.32,2024-11-28 04:39:43,Thursday,3,4,11,November,0,48,2024,27,Active (<=30 days)
C018,Electronics,64.82,2024-04-25 18:34:23,Thursday,3,18,4,April,0,17,2024,1,Active (<=30 days)
C018,Electronics,418.95,2025-03-28 10:45:55,Friday,4,10,3,March,0,13,2025,1,Active (<=30 days)
C018,Clothing,220.6,2024-02-02 11:44:47,Friday,4,11,2,February,0,5,2024,1,Active (<=30 days)
C010,Home Appliances,450.5,2024-01-31 23:41:39,Wednesday,2,23,1,January,0,5,2024,5,Active (<=30 days)
C012,Clothing,344.21,2024-03-20 20:12:43,Wednesday,2,20,3,March,0,12,2024,33,At-risk (31-90 days)
C012,Books,443.23,2024-11-11 15:25:24,Monday,0,15,11,November,0,46,2024,33,At-risk (31-90 days)
C020,Clothing,463.62,2024-07-02 21:06:13,Tuesday,1,21,7,July,0,27,2024,3,Active (<=30 days)
C006,Clothing,441.89,2024-01-20 06:03:04,Saturday,5,6,1,January,1,3,2024,27,Active (<=30 days)
C006,Home Appliances,393.37,2024-11-15 18:53:22,Friday,4,18,11,November,0,46,2024,27,Active (<=30 days)
C008,Home Appliances,88.01,2024-03-24 23:02:54,Sunday,6,23,3,March,1,12,2024,13,Active (<=30 days)
C013,Electronics,430.71,2024-06-21 18:27:54,Friday,4,18,6,June,0,25,2024,4,Active (<=30 days)
C007,Sports,181.33,2024-06-25 18:41:14,Tuesday,1,18,6,June,0,26,2024,2,Active (<=30 days)
C008,Electronics,333.42,2024-11-05 11:56:39,Tuesday,1,11,11,November,0,45,2024,13,Active (<=30 days)
C011,Home Appliances,433.53,2024-08-04 19:16:01,Sunday,6,19,8,August,1,31,2024,25,Active (<=30 days)
C012,Books,205.84,2025-02-20 11:47:08,Thursday,3,11,2,February,0,8,2025,33,At-risk (31-90 days)
C011,Electronics,66.52,2024-07-21 21:24:15,Sunday,6,21,7,July,1,29,2024,25,Active (<=30 days)
C006,Books,481.64,2024-07-25 04:39:06,Thursday,3,4,7,July,0,30,2024,27,Active (<=30 days)
C002,Electronics,302.32,2024-09-25 12:04:29,Wednesday,2,12,9,September,0,39,2024,159,Churned (>90 days)
C011,Sports,307.04,2025-02-01 05:37:00,Saturday,5,5,2,February,1,5,2025,25,Active (<=30 days)
C004,Sports,450.76,2024-05-27 15:19:30,Monday,0,15,5,May,0,22,2024,19,Active (<=30 days)
C009,Electronics,357.3,2024-01-02 07:31:39,Tuesday,1,7,1,January,0,1,2024,15,Active (<=30 days)
C017,Books,346.56,2024-06-02 01:00:03,Sunday,6,1,6,June,1,22,2024,34,At-risk (31-90 days)
C012,Sports,44.29,2024-09-13 11:22:29,Friday,4,11,9,September,0,37,2024,33,At-risk (31-90 days)
C020,Home Appliances,335.06,2024-04-06 19:11:03,Saturday,5,19,4,April,1,14,2024,3,Active (<=30 days)
C010,Books,161.55,2024-11-13 04:59:44,Wednesday,2,4,11,November,0,46,2024,5,Active (<=30 days)
C011,Sports,351.63,2025-03-06 14:59:51,Thursday,3,14,3,March,0,10,2025,25,Active (<=30 days)
C005,Clothing,216.02,2024-10-21 11:46:48,Monday,0,11,10,October,0,43,2024,36,At-risk (31-90 days)
C006,Books,288.86,2024-11-11 09:47:23,Monday,0,9,11,November,0,46,2024,27,Active (<=30 days)
C018,Electronics,158.9,2024-06-12 06:05:21,Wednesday,2,6,6,June,0,24,2024,1,Active (<=30 days)
C014,Books,307.26,2024-09-07 07:09:39,Saturday,5,7,9,September,1,36,2024,53,At-risk (31-90 days)
C015,Sports,226.66,2024-06-14 23:40:58,Friday,4,23,6,June,0,24,2024,8,Active (<=30 days)
C017,Sports,398.93,2024-05-11 19:16:36,Saturday,5,19,5,May,1,19,2024,34,At-risk (31-90 days)
C003,Home Appliances,262.57,2024-09-17 08:21:43,Tuesday,1,8,9,September,0,38,2024,41,At-risk (31-90 days)
C003,Clothing,339.67,2024-06-23 11:36:19,Sunday,6,11,6,June,1,25,2024,41,At-risk (31-90 days)
C007,Clothing,21.97,2024-07-09 04:11:44,Tuesday,1,4,7,July,0,28,2024,2,Active (<=30 days)
C016,Books,426.37,2024-02-26 13:36:59,Monday,0,13,2,February,0,9,2024,10,Active (<=30 days)
C015,Sports,444.21,2025-03-23 03:17:00,Sunday,6,3,3,March,1,12,2025,8,Active (<=30 days)
C007,Sports,252.24,2024-07-08 12:11:58,Monday,0,12,7,July,0,28,2024,2,Active (<=30 days)
C005,Electronics,447.4,2024-03-23 18:55:52,Saturday,5,18,3,March,1,12,2024,36,At-risk (31-90 days)
C014,Clothing,96.18,2025-02-06 07:25:56,Thursday,3,7,2,February,0,6,2025,53,At-risk (31-90 days)
C015,Electronics,283.13,2024-04-04 06:17:17,Thursday,3,6,4,April,0,14,2024,8,Active (<=30 days)
C015,Clothing,402.69,2025-02-16 13:00:57,Sunday,6,13,2,February,1,7,2025,8,Active (<=30 days)
C018,Books,165.48,2024-12-09 18:09:59,Monday,0,18,12,December,0,50,2024,1,Active (<=30 days)
C020,Books,219.1,2025-03-01 13:04:24,Saturday,5,13,3,March,1,9,2025,3,Active (<=30 days)
C015,Clothing,374.39,2025-01-03 16:34:22,Friday,4,16,1,January,0,1,2025,8,Active (<=30 days)
C015,Home Appliances,378.37,2024-08-03 09:27:29,Saturday,5,9,8,August,1,31,2024,8,Active (<=30 days)
C017,Sports,317.11,2024-08-01 06:52:02,Thursday,3,6,8,August,0,31,2024,34,At-risk (31-90 days)
C015,Electronics,359.64,2024-07-01 03:16:37,Monday,0,3,7,July,0,27,2024,8,Active (<=30 days)
C009,Home Appliances,166.66,2025-02-23 13:10:02,Sunday,6,13,2,February,1,8,2025,15,Active (<=30 days)
C003,Clothing,83.91,2024-10-24 12:17:43,Thursday,3,12,10,October,0,43,2024,41,At-risk (31-90 days)
C005,Clothing,41.47,2024-11-12 14:12:10,Tuesday,1,14,11,November,0,46,2024,36,At-risk (31-90 days)
C011,Books,238.3,2024-02-18 08:43:01,Sunday,6,8,2,February,1,7,2024,25,Active (<=30 days)
C007,Sports,200.84,2025-03-29 16:01:45,Saturday,5,16,3,March,1,13,2025,2,Active (<=30 days)
C001,Books,196.39,2024-01-05 13:54:39,Friday,4,13,1,January,0,1,2024,16,Active (<=30 days)
C012,Home Appliances,379.2,2024-11-21 11:07:22,Thursday,3,11,11,November,0,47,2024,33,At-risk (31-90 days)
C018,Books,401.94,2024-06-20 07:08:21,Thursday,3,7,6,June,0,25,2024,1,Active (<=30 days)
C016,Clothing,143.74,2025-01-12 05:01:22,Sunday,6,5,1,January,1,2,2025,10,Active (<=30 days)
C001,Sports,174.7,2024-11-10 01:00:32,Sunday,6,1,11,November,1,45,2024,16,Active (<=30 days)
C006,Sports,460.58,2025-02-18 20:47:10,Tuesday,1,20,2,February,0,8,2025,27,Active (<=30 days)
C001,Sports,300.03,2024-01-22 01:13:07,Monday,0,1,1,January,0,4,2024,16,Active (<=30 days)
C003,Sports,76.49,2024-12-24 14:40:58,Tuesday,1,14,12,December,0,52,2024,41,At-risk (31-90 days)
C006,Electronics,137.48,2024-09-11 06:17:45,Wednesday,2,6,9,September,0,37,2024,27,Active (<=30 days)
C007,Sports,170.15,2024-10-21 11:25:29,Monday,0,11,10,October,0,43,2024,2,Active (<=30 days)
C009,Sports,133.61,2024-03-04 14:50:34,Monday,0,14,3,March,0,10,2024,15,Active (<=30 days)
C016,Electronics,377.02,2024-02-10 10:56:45,Saturday,5,10,2,February,1,6,2024,10,Active (<=30 days)
C012,Clothing,328.57,2024-02-01 06:27:57,Thursday,3,6,2,February,0,5,2024,33,At-risk (31-90 days)
C001,Clothing,107.69,2024-01-16 19:54:39,Tuesday,1,19,1,January,0,3,2024,16,Active (<=30 days)
C020,Clothing,126.89,2025-01-02 19:49:04,Thursday,3,19,1,January,0,1,2025,3,Active (<=30 days)
C004,Books,474.4,2024-12-27 04:51:42,Friday,4,4,12,December,0,52,2024,19,Active (<=30 days)
C009,Home Appliances,92.22,2024-03-29 23:02:50,Friday,4,23,3,March,0,13,2024,15,Active (<=30 days)
C006,Home Appliances,62.97,2024-01-20 22:40:49,Saturday,5,22,1,January,1,3,2024,27,Active (<=30 days)
C010,Books,341.9,2024-10-18 12:13:43,Friday,4,12,10,October,0,42,2024,5,Active (<=30 days)
C013,Clothing,47.24,2024-07-07 15:02:26,Sunday,6,15,7,July,1,27,2024,4,Active (<=30 days)
C004,Home Appliances,426.64,2024-04-04 00:37:47,Thursday,3,0,4,April,0,14,2024,19,Active (<=30 days)
C019,Electronics,180.13,2024-11-28 17:32:41,Thursday,3,17,11,November,0,48,2024,18,Active (<=30 days)
C012,Electronics,257.92,2024-09-22 01:00:36,Sunday,6,1,9,September,1,38,2024,33,At-risk (31-90 days)
C001,Sports,412.94,2024-03-22 23:23:13,Friday,4,23,3,March,0,12,2024,16,Active (<=30 days)
C014,Home Appliances,321.44,2024-12-23 02:09:45,Monday,0,2,12,December,0,52,2024,53,At-risk (31-90 days)
C005,Sports,96.31,2025-02-09 06:03:51,Sunday,6,6,2,February,1,6,2025,36,At-risk (31-90 days)
C009,Books,406.02,2025-02-22 00:16:12,Saturday,5,0,2,February,1,8,2025,15,Active (<=30 days)
C016,Sports,223.43,2024-07-27 11:15:19,Saturday,5,11,7,July,1,30,2024,10,Active (<=30 days)
C011,Clothing,417.06,2024-03-08 07:30:48,Friday,4,7,3,March,0,10,2024,25,Active (<=30 days)
C009,Sports,129.49,2024-12-26 22:47:37,Thursday,3,22,12,December,0,52,2024,15,Active (<=30 days)
C019,Books,337.41,2024-09-18 06:53:15,Wednesday,2,6,9,September,0,38,2024,18,Active (<=30 days)
C001,Sports,426.97,2024-05-21 05:44:26,Tuesday,1,5,5,May,0,21,2024,16,Active (<=30 days)
C016,Clothing,183.86,2024-07-19 16:02:16,Friday,4,16,7,July,0,29,2024,10,Active (<=30 days)
C011,Home Appliances,441.36,2024-08-02 14:01:10,Friday,4,14,8,August,0,31,2024,25,Active (<=30 days)
C018,Electronics,263.15,2024-05-28 09:32:59,Tuesday,1,9,5,May,0,22,2024,1,Active (<=30 days)
C003,Clothing,362.84,2025-01-14 11:45:04,Tuesday,1,11,1,January,0,3,2025,41,At-risk (31-90 days)
C018,Clothing,348.4,2025-01-16 05:34:22,Thursday,3,5,1,January,0,3,2025,1,Active (<=30 days)
C015,Electronics,55.6,2024-06-21 02:51:22,Friday,4,2,6,June,0,25,2024,8,Active (<=30 days)
C013,Clothing,160.04,2025-03-27 16:58:54,Thursday,3,16,3,March,0,13,2025,4,Active (<=30 days)
C012,Sports,281.2,2024-09-24 00:06:08,Tuesday,1,0,9,September,0,39,2024,33,At-risk (31-90 days)
C014,Books,172.09,2024-12-18 10:25:29,Wednesday,2,10,12,December,0,51,2024,53,At-risk (31-90 days)
C009,Home Appliances,133.19,2024-04-03 17:11:19,Wednesday,2,17,4,April,0,14,2024,15,Active (<=30 days)
C007,Home Appliances,68.58,2025-02-20 05:13:41,Thursday,3,5,2,February,0,8,2025,2,Active (<=30 days)
C006,Clothing,116.03,2025-01-11 02:06:57,Saturday,5,2,1,January,1,2,2025,27,Active (<=30 days)
C009,Books,488.54,2025-02-11 11:56:24,Tuesday,1,11,2,February,0,7,2025,15,Active (<=30 days)
C020,Home Appliances,490.45,2024-05-30 18:36:50,Thursday,3,18,5,May,0,22,2024,3,Active (<=30 days)
C010,Clothing,186.83,2024-08-22 18:40:34,Thursday,3,18,8,August,0,34,2024,5,Active (<=30 days)
C001,Books,72.03,2024-02-05 08:28:26,Monday,0,8,2,February,0,6,2024,16,Active (<=30 days)
C002,Books,153.15,2024-04-08 02:01:13,Monday,0,2,4,April,0,15,2024,159,Churned (>90 days)
C016,Electronics,437.63,2025-03-21 21:19:57,Friday,4,21,3,March,0,12,2025,10,Active (<=30 days)
C010,Sports,244.57,2024-09-21 15:13:08,Saturday,5,15,9,September,1,38,2024,5,Active (<=30 days)
C006,Electronics,133.71,2025-01-06 01:31:03,Monday,0,1,1,January,0,2,2025,27,Active (<=30 days)
C004,Electronics,206.35,2024-02-27 12:59:30,Tuesday,1,12,2,February,0,9,2024,19,Active (<=30 days)
C019,Electronics,84.35,2025-03-13 04:05:25,Thursday,3,4,3,March,0,11,2025,18,Active (<=30 days)
C010,Electronics,497.02,2024-04-02 00:05:49,Tuesday,1,0,4,April,0,14,2024,5,Active (<=30 days)
C018,Sports,307.1,2024-06-24 07:06:47,Monday,0,7,6,June,0,26,2024,1,Active (<=30 days)
C017,Sports,230.75,2024-12-09 20:55:03,Monday,0,20,12,December,0,50,2024,34,At-risk (31-90 days)
C010,Books,495.12,2024-08-25 04:42:01,Sunday,6,4,8,August,1,34,2024,5,Active (<=30 days)
C019,Books,39.51,2024-03-18 01:50:52,Monday,0,1,3,March,0,12,2024,18,Active (<=30 days)
C007,Clothing,139.68,2024-03-04 01:26:38,Monday,0,1,3,March,0,10,2024,2,Active (<=30 days)
C006,Clothing,95.17,2024-02-28 07:18:38,Wednesday,2,7,2,February,0,9,2024,27,Active (<=30 days)
C006,Electronics,210.17,2024-12-30 23:48:12,Monday,0,23,12,December,0,1,2024,27,Active (<=30 days)
C010,Electronics,123.42,2024-08-07 14:15:08,Wednesday,2,14,8,August,0,32,2024,5,Active (<=30 days)
C015,Electronics,346.82,2024-07-24 11:39:20,Wednesday,2,11,7,July,0,30,2024,8,Active (<=30 days)
C019,Clothing,218.32,2025-02-26 23:22:42,Wednesday,2,23,2,February,0,9,2025,18,Active (<=30 days)
C008,Clothing,455.12,2024-04-20 11:28:35,Saturday,5,11,4,April,1,16,2024,13,Active (<=30 days)
C003,Electronics,91.3,2024-08-26 22:17:59,Monday,0,22,8,August,0,35,2024,41,At-risk (31-90 days)
C020,Books,461.38,2024-12-07 02:24:49,Saturday,5,2,12,December,1,49,2024,3,Active (<=30 days)
C004,Sports,347.45,2024-11-08 15:18:09,Friday,4,15,11,November,0,45,2024,19,Active (<=30 days)
C009,Books,274.59,2024-12-06 00:25:00,Friday,4,0,12,December,0,49,2024,15,Active (<=30 days)
C003,Books,29.53,2024-12-01 13:35:52,Sunday,6,13,12,December,1,48,2024,41,At-risk (31-90 days)
C011,Books,132.68,2024-03-11 22:27:23,Monday,0,22,3,March,0,11,2024,25,Active (<=30 days)
C008,Books,297.69,2024-01-17 02:43:23,Wednesday,2,2,1,January,0,3,2024,13,Active (<=30 days)
C009,Books,29.71,2024-05-16 01:47:30,Thursday,3,1,5,May,0,20,2024,15,Active (<=30 days)
C016,Books,329.24,2024-08-04 01:12:51,Sunday,6,1,8,August,1,31,2024,10,Active (<=30 days)
C006,Books,223.58,2025-01-16 22:25:59,Thursday,3,22,1,January,0,3,2025,27,Active (<=30 days)
C003,Sports,180.5,2024-09-15 21:19:07,Sunday,6,21,9,September,1,37,2024,41,At-risk (31-90 days)
C011,Electronics,430.29,2024-09-13 03:59:09,Friday,4,3,9,September,0,37,2024,25,Active (<=30 days)
C014,Sports,151.23,2024-11-07 00:58:15,Thursday,3,0,11,November,0,45,2024,53,At-risk (31-90 days)
C018,Electronics,232.86,2024-09-01 07:01:29,Sunday,6,7,9,September,1,35,2024,1,Active (<=30 days)
C009,Home Appliances,66.8,2024-11-09 22:22:08,Saturday,5,22,11,November,1,45,2024,15,Active (<=30 days)
C017,Electronics,332.25,2025-02-25 10:40:39,Tuesday,1,10,2,February,0,9,2025,34,At-risk (31-90 days)
C015,Sports,36.56,2025-02-06 16:24:38,Thursday,3,16,2,February,0,6,2025,8,Active (<=30 days)
C012,Books,380.66,2024-12-09 08:14:26,Monday,0,8,12,December,0,50,2024,33,At-risk (31-90 days)
C002,Clothing,140.86,2024-04-11 18:15:48,Thursday,3,18,4,April,0,15,2024,159,Churned (>90 days)
C010,Sports,441.61,2025-01-11 11:40:58,Saturday,5,11,1,January,1,2,2025,5,Active (<=30 days)
C004,Electronics,486.84,2024-07-04 20:49:40,Thursday,3,20,7,July,0,27,2024,19,Active (<=30 days)
C006,Home Appliances,279.91,2025-03-04 22:42:44,Tuesday,1,22,3,March,0,10,2025,27,Active (<=30 days)
C014,Electronics,120.1,2024-03-29 03:04:06,Friday,4,3,3,March,0,13,2024,53,At-risk (31-90 days)
C015,Electronics,327.38,2024-04-29 14:13:47,Monday,0,14,4,April,0,18,2024,8,Active (<=30 days)
C016,Home Appliances,259.35,2024-07-31 09:00:34,Wednesday,2,9,7,July,0,31,2024,10,Active (<=30 days)
C014,Sports,490.32,2024-07-08 07:28:24,Monday,0,7,7,July,0,28,2024,53,At-risk (31-90 days)
C015,Books,80.87,2024-05-28 01:14:05,Tuesday,1,1,5,May,0,22,2024,8,Active (<=30 days)
C020,Books,375.68,2024-04-16 00:41:59,Tuesday,1,0,4,April,0,16,2024,3,Active (<=30 days)
C003,Home Appliances,388.61,2024-11-18 07:05:14,Monday,0,7,11,November,0,47,2024,41,At-risk (31-90 days)
C011,Books,140.91,2024-01-02 23:49:11,Tuesday,1,23,1,January,0,1,2024,25,Active (<=30 days)
C010,Home Appliances,420.36,2025-03-26 10:33:19,Wednesday,2,10,3,March,0,13,2025,5,Active (<=30 days)
C016,Clothing,228.81,2025-01-11 04:46:40,Saturday,5,4,1,January,1,2,2025,10,Active (<=30 days)
C012,Home Appliances,280.44,2025-02-26 02:16:14,Wednesday,2,2,2,February,0,9,2025,33,At-risk (31-90 days)
C013,Sports,467.1,2024-05-26 12:44:06,Sunday,6,12,5,May,1,21,2024,4,Active (<=30 days)
C008,Books,197.66,2024-11-15 01:24:10,Friday,4,1,11,November,0,46,2024,13,Active (<=30 days)
C002,Home Appliances,374.91,2024-10-23 02:39:49,Wednesday,2,2,10,October,0,43,2024,159,Churned (>90 days)
C013,Clothing,252.71,2024-01-29 18:05:44,Monday,0,18,1,January,0,5,2024,4,Active (<=30 days)
C005,Books,483.02,2024-09-14 20:49:47,Saturday,5,20,9,September,1,37,2024,36,At-risk (31-90 days)
