student_id,registration_date,age,gender,education_level,device_type,target_course_id,completion_status,completion_date,reg_date,reg_year,reg_month,reg_month_name,reg_day,reg_weekday,reg_weekday_name,reg_is_weekend,reg_week,reg_week_number,age_outlier_class,age_is_outlier,reg_year_outlier_class,reg_year_is_outlier,reg_month_outlier_class,reg_month_is_outlier,reg_day_outlier_class,reg_day_is_outlier,reg_weekday_outlier_class,reg_weekday_is_outlier,reg_is_weekend_outlier_class,reg_is_weekend_is_outlier,reg_week_outlier_class,reg_week_is_outlier,reg_week_number_outlier_class,reg_week_number_is_outlier
S0019,2026-01-05,40,Male,High School,Desktop,C002,In Progress,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0020,2026-01-05,30,Female,High School,Laptop,C004,In Progress,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0021,2026-01-06,31,Other,Undergraduate,Laptop,C001,Completed,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0022,2026-01-06,28,Male,Postgraduate,Laptop,C002,Completed,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0023,2026-01-06,22,Female,Undergraduate,Mobile,C003,In Progress,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0024,2026-01-06,43,Male,Undergraduate,Tablet,C001,In Progress,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0025,2026-01-07,39,Other,Postgraduate,Tablet,C003,Completed,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0026,2026-01-07,35,Female,Undergraduate,Desktop,C002,Dropped,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0027,2026-01-07,28,Male,High School,Tablet,C004,Dropped,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0028,2026-01-07,40,Male,Postgraduate,Laptop,C003,Completed,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0029,2026-01-08,32,Female,Undergraduate,Mobile,C003,In Progress,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0030,2026-01-08,29,Other,Undergraduate,Tablet,C001,Completed,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0031,2026-01-08,30,Other,Undergraduate,Mobile,C002,In Progress,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0032,2026-01-08,24,Female,Undergraduate,Laptop,C004,Completed,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0033,2026-01-09,20,Male,High School,Desktop,C001,In Progress,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0034,2026-01-09,32,Other,Undergraduate,Tablet,C004,In Progress,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0035,2026-01-09,41,Female,Postgraduate,Desktop,C002,In Progress,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0036,2026-01-09,19,Other,High School,Desktop,C003,Completed,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0037,2026-01-10,41,Male,Undergraduate,Laptop,C003,Dropped,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0038,2026-01-10,40,Male,High School,Desktop,C002,Completed,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0039,2026-01-10,25,Other,Undergraduate,Laptop,C002,Completed,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0040,2026-01-10,35,Other,Undergraduate,Desktop,C003,In Progress,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0041,2026-01-11,22,Female,Postgraduate,Tablet,C001,Completed,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0042,2026-01-11,38,Other,High School,Tablet,C003,Dropped,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0043,2026-01-11,36,Other,High School,Tablet,C001,Dropped,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0044,2026-01-11,27,Female,Undergraduate,Desktop,C003,Completed,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0045,2026-01-12,19,Other,Postgraduate,Mobile,C003,Dropped,,2026-01-12,2026,1,January,12,0,Monday,0,3,3,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0046,2026-01-12,44,Male,Postgraduate,Laptop,C001,Completed,,2026-01-12,2026,1,January,12,0,Monday,0,3,3,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0047,2026-01-12,30,Male,High School,Desktop,C004,In Progress,,2026-01-12,2026,1,January,12,0,Monday,0,3,3,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0048,2026-01-12,42,Other,High School,Laptop,C002,Completed,,2026-01-12,2026,1,January,12,0,Monday,0,3,3,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0049,2026-01-13,36,Female,Postgraduate,Desktop,C004,Dropped,,2026-01-13,2026,1,January,13,1,Tuesday,0,3,3,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0050,2026-01-13,39,Male,High School,Mobile,C001,Completed,,2026-01-13,2026,1,January,13,1,Tuesday,0,3,3,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
