session_id,student_id,course_id,session_start,session_end,duration_minutes,active_minutes,idle_minutes,video_watched_minutes,reading_minutes,modules_accessed,session_date,session_year,session_month,session_month_name,session_day,session_weekday,session_weekday_name,session_is_weekend,session_week,session_week_number,session_hour,session_day_part,duration_minutes_outlier_class,duration_minutes_is_outlier,active_minutes_outlier_class,active_minutes_is_outlier,idle_minutes_outlier_class,idle_minutes_is_outlier,video_watched_minutes_outlier_class,video_watched_minutes_is_outlier,reading_minutes_outlier_class,reading_minutes_is_outlier,modules_accessed_outlier_class,modules_accessed_is_outlier,session_year_outlier_class,session_year_is_outlier,session_month_outlier_class,session_month_is_outlier,session_day_outlier_class,session_day_is_outlier,session_weekday_outlier_class,session_weekday_is_outlier,session_is_weekend_outlier_class,session_is_weekend_is_outlier,session_week_outlier_class,session_week_is_outlier,session_week_number_outlier_class,session_week_number_is_outlier,session_hour_outlier_class,session_hour_is_outlier
SES00052,S0039,C002,2026-02-13 18:00:00,2026-02-13 19:00:00,60.0,96.3,18.5,37.8,21.3,1,2026-02-13,2026,2,February,13,4,Friday,0,7,7,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00057,S0022,C003,2026-02-15 00:00:00,2026-02-15 01:00:00,60.0,73.5,5.6,35.4,33.6,1,2026-02-15,2026,2,February,15,6,Sunday,1,7,7,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00015,S0006,C004,2026-02-04 12:00:00,2026-02-04 13:00:00,60.0,60.9,17.6,38.0,8.5,4,2026-02-04,2026,2,February,4,2,Wednesday,0,6,6,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00036,S0007,C001,2026-02-09 18:00:00,2026-02-09 19:00:00,60.0,16.5,6.9,5.2,23.8,2,2026-02-09,2026,2,February,9,0,Monday,0,7,7,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00106,S0028,C003,2026-02-27 06:00:00,2026-02-27 07:00:00,60.0,54.9,7.6,27.5,24.7,3,2026-02-27,2026,2,February,27,4,Friday,0,9,9,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00077,S0044,C004,2026-02-20 00:00:00,2026-02-20 01:00:00,60.0,23.6,7.8,16.0,21.0,4,2026-02-20,2026,2,February,20,4,Friday,0,8,8,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00095,S0026,C002,2026-02-24 12:00:00,2026-02-24 13:00:00,60.0,58.6,19.2,16.2,20.7,3,2026-02-24,2026,2,February,24,1,Tuesday,0,9,9,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00045,S0036,C004,2026-02-12 00:00:00,2026-02-12 01:00:00,60.0,84.4,9.3,20.0,12.3,3,2026-02-12,2026,2,February,12,3,Thursday,0,7,7,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00089,S0005,C004,2026-02-23 00:00:00,2026-02-23 01:00:00,60.0,67.4,18.2,36.3,38.3,2,2026-02-23,2026,2,February,23,0,Monday,0,9,9,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00127,S0043,C002,2026-03-04 12:00:00,2026-03-04 13:00:00,60.0,78.5,7.8,19.3,9.5,1,2026-03-04,2026,3,March,4,2,Wednesday,0,10,10,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00081,S0005,C001,2026-02-21 00:00:00,2026-02-21 01:00:00,60.0,31.0,12.1,30.8,18.8,3,2026-02-21,2026,2,February,21,5,Saturday,1,8,8,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00009,S0005,C002,2026-02-03 00:00:00,2026-02-03 01:00:00,60.0,38.5,8.7,38.2,31.6,4,2026-02-03,2026,2,February,3,1,Tuesday,0,6,6,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00116,S0049,C003,2026-03-01 18:00:00,2026-03-01 19:00:00,60.0,93.5,2.0,23.7,8.2,1,2026-03-01,2026,3,March,1,6,Sunday,1,9,9,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00065,S0001,C004,2026-02-17 00:00:00,2026-02-17 01:00:00,60.0,85.3,11.7,33.3,32.8,1,2026-02-17,2026,2,February,17,1,Tuesday,0,8,8,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00103,S0025,C003,2026-02-26 12:00:00,2026-02-26 13:00:00,60.0,62.8,3.2,22.6,17.8,1,2026-02-26,2026,2,February,26,3,Thursday,0,9,9,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00109,S0043,C004,2026-02-28 00:00:00,2026-02-28 01:00:00,60.0,45.9,8.9,30.7,36.7,1,2026-02-28,2026,2,February,28,5,Saturday,1,9,9,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00083,S0042,C001,2026-02-21 12:00:00,2026-02-21 13:00:00,60.0,54.1,16.1,53.3,16.2,4,2026-02-21,2026,2,February,21,5,Saturday,1,8,8,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00072,S0035,C002,2026-02-18 18:00:00,2026-02-18 19:00:00,60.0,45.3,15.4,26.7,27.4,1,2026-02-18,2026,2,February,18,2,Wednesday,0,8,8,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00002,S0003,C003,2026-02-01 06:00:00,2026-02-01 07:00:00,60.0,48.5,16.3,39.1,10.6,2,2026-02-01,2026,2,February,1,6,Sunday,1,5,5,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00101,S0049,C003,2026-02-26 00:00:00,2026-02-26 01:00:00,60.0,55.4,2.7,53.8,15.6,3,2026-02-26,2026,2,February,26,3,Thursday,0,9,9,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00018,S0016,C001,2026-02-05 06:00:00,2026-02-05 07:00:00,60.0,68.7,2.9,22.5,11.3,4,2026-02-05,2026,2,February,5,3,Thursday,0,6,6,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00105,S0030,C004,2026-02-27 00:00:00,2026-02-27 01:00:00,60.0,40.7,11.3,37.0,19.1,2,2026-02-27,2026,2,February,27,4,Friday,0,9,9,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00033,S0048,C001,2026-02-09 00:00:00,2026-02-09 01:00:00,60.0,85.4,7.4,14.5,23.1,3,2026-02-09,2026,2,February,9,0,Monday,0,7,7,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00021,S0017,C002,2026-02-06 00:00:00,2026-02-06 01:00:00,60.0,59.4,17.4,24.1,13.6,1,2026-02-06,2026,2,February,6,4,Friday,0,6,6,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00134,S0040,C002,2026-03-06 06:00:00,2026-03-06 07:00:00,60.0,75.9,2.9,18.9,24.0,4,2026-03-06,2026,3,March,6,4,Friday,0,10,10,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00020,S0039,C003,2026-02-05 18:00:00,2026-02-05 19:00:00,60.0,80.9,13.2,6.6,20.7,4,2026-02-05,2026,2,February,5,3,Thursday,0,6,6,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00078,S0041,C003,2026-02-20 06:00:00,2026-02-20 07:00:00,60.0,26.3,4.8,52.2,9.5,4,2026-02-20,2026,2,February,20,4,Friday,0,8,8,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00058,S0008,C004,2026-02-15 06:00:00,2026-02-15 07:00:00,60.0,44.9,2.3,26.8,31.0,4,2026-02-15,2026,2,February,15,6,Sunday,1,7,7,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00093,S0007,C001,2026-02-24 00:00:00,2026-02-24 01:00:00,60.0,15.2,3.8,48.9,34.6,2,2026-02-24,2026,2,February,24,1,Tuesday,0,9,9,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00042,S0009,C001,2026-02-11 06:00:00,2026-02-11 07:00:00,60.0,38.3,16.5,53.4,38.4,2,2026-02-11,2026,2,February,11,2,Wednesday,0,7,7,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00107,S0008,C002,2026-02-27 12:00:00,2026-02-27 13:00:00,60.0,57.8,2.9,38.1,30.2,4,2026-02-27,2026,2,February,27,4,Friday,0,9,9,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00032,S0047,C001,2026-02-08 18:00:00,2026-02-08 19:00:00,60.0,38.3,17.4,43.1,32.2,1,2026-02-08,2026,2,February,8,6,Sunday,1,6,6,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00046,S0044,C001,2026-02-12 06:00:00,2026-02-12 07:00:00,60.0,87.1,4.5,7.8,13.9,4,2026-02-12,2026,2,February,12,3,Thursday,0,7,7,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00114,S0021,C002,2026-03-01 06:00:00,2026-03-01 07:00:00,60.0,27.2,9.1,14.0,20.4,3,2026-03-01,2026,3,March,1,6,Sunday,1,9,9,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00006,S0050,C002,2026-02-02 06:00:00,2026-02-02 07:00:00,60.0,46.8,18.6,19.0,15.4,2,2026-02-02,2026,2,February,2,0,Monday,0,6,6,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00118,S0030,C002,2026-03-02 06:00:00,2026-03-02 07:00:00,60.0,37.7,17.5,18.4,27.9,3,2026-03-02,2026,3,March,2,0,Monday,0,10,10,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00055,S0025,C004,2026-02-14 12:00:00,2026-02-14 13:00:00,60.0,38.0,8.6,19.0,11.6,2,2026-02-14,2026,2,February,14,5,Saturday,1,7,7,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00013,S0012,C004,2026-02-04 00:00:00,2026-02-04 01:00:00,60.0,30.3,14.8,22.5,9.2,2,2026-02-04,2026,2,February,4,2,Wednesday,0,6,6,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00062,S0012,C001,2026-02-16 06:00:00,2026-02-16 07:00:00,60.0,57.3,9.6,46.7,16.9,4,2026-02-16,2026,2,February,16,0,Monday,0,8,8,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00128,S0001,C002,2026-03-04 18:00:00,2026-03-04 19:00:00,60.0,91.3,6.4,7.5,14.6,1,2026-03-04,2026,3,March,4,2,Wednesday,0,10,10,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00121,S0037,C002,2026-03-03 00:00:00,2026-03-03 01:00:00,60.0,35.0,10.8,53.5,16.4,2,2026-03-03,2026,3,March,3,1,Tuesday,0,10,10,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00141,S0047,C003,2026-03-08 00:00:00,2026-03-08 01:00:00,60.0,76.0,2.2,57.4,39.2,2,2026-03-08,2026,3,March,8,6,Sunday,1,10,10,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00108,S0032,C003,2026-02-27 18:00:00,2026-02-27 19:00:00,60.0,19.4,4.0,56.4,22.8,3,2026-02-27,2026,2,February,27,4,Friday,0,9,9,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00008,S0045,C001,2026-02-02 18:00:00,2026-02-02 19:00:00,60.0,62.9,2.7,30.0,19.2,3,2026-02-02,2026,2,February,2,0,Monday,0,6,6,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00069,S0015,C003,2026-02-18 00:00:00,2026-02-18 01:00:00,60.0,99.1,7.9,27.4,12.4,2,2026-02-18,2026,2,February,18,2,Wednesday,0,8,8,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00043,S0019,C001,2026-02-11 12:00:00,2026-02-11 13:00:00,60.0,76.8,20.0,34.5,10.7,2,2026-02-11,2026,2,February,11,2,Wednesday,0,7,7,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00086,S0007,C004,2026-02-22 06:00:00,2026-02-22 07:00:00,60.0,17.6,19.9,45.8,28.1,4,2026-02-22,2026,2,February,22,6,Sunday,1,8,8,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00040,S0008,C001,2026-02-10 18:00:00,2026-02-10 19:00:00,60.0,40.1,8.2,12.0,38.3,3,2026-02-10,2026,2,February,10,1,Tuesday,0,7,7,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00096,S0034,C004,2026-02-24 18:00:00,2026-02-24 19:00:00,60.0,40.5,11.2,45.9,36.2,4,2026-02-24,2026,2,February,24,1,Tuesday,0,9,9,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00001,S0027,C001,2026-02-01 00:00:00,2026-02-01 01:00:00,60.0,37.4,9.4,51.9,13.9,2,2026-02-01,2026,2,February,1,6,Sunday,1,5,5,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00087,S0029,C003,2026-02-22 12:00:00,2026-02-22 13:00:00,60.0,31.9,14.1,45.2,26.0,1,2026-02-22,2026,2,February,22,6,Sunday,1,8,8,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00142,S0044,C004,2026-03-08 06:00:00,2026-03-08 07:00:00,60.0,77.5,5.4,9.0,19.0,2,2026-03-08,2026,3,March,8,6,Sunday,1,10,10,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00066,S0034,C001,2026-02-17 06:00:00,2026-02-17 07:00:00,60.0,99.0,7.1,5.7,26.8,2,2026-02-17,2026,2,February,17,1,Tuesday,0,8,8,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00135,S0024,C001,2026-03-06 12:00:00,2026-03-06 13:00:00,60.0,49.6,10.3,21.2,29.5,3,2026-03-06,2026,3,March,6,4,Friday,0,10,10,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00004,S0022,C004,2026-02-01 18:00:00,2026-02-01 19:00:00,60.0,67.1,12.0,47.5,25.4,3,2026-02-01,2026,2,February,1,6,Sunday,1,5,5,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00115,S0001,C003,2026-03-01 12:00:00,2026-03-01 13:00:00,60.0,12.2,9.5,42.7,9.4,1,2026-03-01,2026,3,March,1,6,Sunday,1,9,9,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00026,S0005,C002,2026-02-07 06:00:00,2026-02-07 07:00:00,60.0,76.3,9.2,45.6,23.6,4,2026-02-07,2026,2,February,7,5,Saturday,1,6,6,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00125,S0032,C003,2026-03-04 00:00:00,2026-03-04 01:00:00,60.0,65.8,17.1,33.7,13.6,1,2026-03-04,2026,3,March,4,2,Wednesday,0,10,10,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00011,S0043,C004,2026-02-03 12:00:00,2026-02-03 13:00:00,60.0,47.7,4.0,24.9,12.2,4,2026-02-03,2026,2,February,3,1,Tuesday,0,6,6,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00123,S0022,C001,2026-03-03 12:00:00,2026-03-03 13:00:00,60.0,67.0,9.8,16.1,32.2,2,2026-03-03,2026,3,March,3,1,Tuesday,0,10,10,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00100,S0015,C003,2026-02-25 18:00:00,2026-02-25 19:00:00,60.0,86.7,3.9,44.6,28.1,2,2026-02-25,2026,2,February,25,2,Wednesday,0,9,9,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00035,S0002,C003,2026-02-09 12:00:00,2026-02-09 13:00:00,60.0,20.4,9.1,59.5,23.5,3,2026-02-09,2026,2,February,9,0,Monday,0,7,7,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
