quiz_attempt_id,student_id,course_id,quiz_id,attempt_number,attempt_date,score_percentage,time_taken_minutes,passed,quiz_date,quiz_year,quiz_month,quiz_month_name,quiz_day,quiz_weekday,quiz_weekday_name,quiz_is_weekend,quiz_week,quiz_week_number,attempt_number_outlier_class,attempt_number_is_outlier,score_percentage_outlier_class,score_percentage_is_outlier,time_taken_minutes_outlier_class,time_taken_minutes_is_outlier,quiz_year_outlier_class,quiz_year_is_outlier,quiz_month_outlier_class,quiz_month_is_outlier,quiz_day_outlier_class,quiz_day_is_outlier,quiz_weekday_outlier_class,quiz_weekday_is_outlier,quiz_is_weekend_outlier_class,quiz_is_weekend_is_outlier,quiz_week_outlier_class,quiz_week_is_outlier,quiz_week_number_outlier_class,quiz_week_number_is_outlier
QA00064,S0006,C003,Q4,2,2026-03-08,97.2,36.2,1,2026-03-08,2026,3,March,8,6,Sunday,1,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00041,S0022,C002,Q3,1,2026-02-25,96.8,12.1,1,2026-02-25,2026,2,February,25,2,Wednesday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00089,S0048,C003,Q9,2,2026-03-21,96.8,38.5,1,2026-03-21,2026,3,March,21,5,Saturday,1,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00081,S0009,C003,Q4,1,2026-03-17,96.5,20.8,1,2026-03-17,2026,3,March,17,1,Tuesday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00048,S0038,C003,Q6,3,2026-02-28,95.8,32.1,1,2026-02-28,2026,2,February,28,5,Saturday,1,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00097,S0048,C004,Q5,1,2026-03-25,95.6,18.4,1,2026-03-25,2026,3,March,25,2,Wednesday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00039,S0003,C004,Q5,1,2026-02-24,95.1,41.4,1,2026-02-24,2026,2,February,24,1,Tuesday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00069,S0009,C001,Q4,1,2026-03-11,94.9,15.4,0,2026-03-11,2026,3,March,11,2,Wednesday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00005,S0046,C002,Q1,3,2026-02-07,93.7,22.2,1,2026-02-07,2026,2,February,7,5,Saturday,1,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00028,S0009,C002,Q9,1,2026-02-18,93.6,44.8,0,2026-02-18,2026,2,February,18,2,Wednesday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00059,S0032,C002,Q1,3,2026-03-06,93.4,17.5,1,2026-03-06,2026,3,March,6,4,Friday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00063,S0049,C002,Q7,1,2026-03-08,92.1,31.9,1,2026-03-08,2026,3,March,8,6,Sunday,1,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00002,S0008,C003,Q1,1,2026-02-05,91.9,31.6,1,2026-02-05,2026,2,February,5,3,Thursday,0,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00042,S0020,C001,Q9,2,2026-02-25,91.9,38.8,1,2026-02-25,2026,2,February,25,2,Wednesday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00045,S0030,C003,Q8,2,2026-02-27,91.7,25.0,0,2026-02-27,2026,2,February,27,4,Friday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00061,S0033,C002,Q6,2,2026-03-07,91.5,14.6,1,2026-03-07,2026,3,March,7,5,Saturday,1,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00024,S0033,C004,Q4,3,2026-02-16,90.4,27.4,0,2026-02-16,2026,2,February,16,0,Monday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00066,S0005,C001,Q4,2,2026-03-09,89.8,19.5,1,2026-03-09,2026,3,March,9,0,Monday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00001,S0014,C001,Q7,3,2026-02-05,89.7,38.0,1,2026-02-05,2026,2,February,5,3,Thursday,0,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00079,S0050,C001,Q9,2,2026-03-16,89.0,15.2,1,2026-03-16,2026,3,March,16,0,Monday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00060,S0011,C001,Q6,1,2026-03-06,85.4,36.1,1,2026-03-06,2026,3,March,6,4,Friday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00037,S0023,C003,Q3,2,2026-02-23,85.3,44.3,1,2026-02-23,2026,2,February,23,0,Monday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00071,S0003,C004,Q8,3,2026-03-12,85.2,20.2,1,2026-03-12,2026,3,March,12,3,Thursday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00009,S0016,C002,Q4,2,2026-02-09,84.5,43.1,1,2026-02-09,2026,2,February,9,0,Monday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00011,S0015,C003,Q2,3,2026-02-10,83.4,37.0,0,2026-02-10,2026,2,February,10,1,Tuesday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00027,S0018,C001,Q5,3,2026-02-18,82.6,25.3,1,2026-02-18,2026,2,February,18,2,Wednesday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00029,S0002,C004,Q1,2,2026-02-19,81.7,27.0,0,2026-02-19,2026,2,February,19,3,Thursday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00099,S0013,C001,Q9,1,2026-03-26,81.3,21.0,0,2026-03-26,2026,3,March,26,3,Thursday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00013,S0026,C004,Q9,1,2026-02-11,80.9,16.4,0,2026-02-11,2026,2,February,11,2,Wednesday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00082,S0023,C004,Q5,1,2026-03-17,80.6,14.5,0,2026-03-17,2026,3,March,17,1,Tuesday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00096,S0033,C001,Q2,2,2026-03-24,78.4,23.7,1,2026-03-24,2026,3,March,24,1,Tuesday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00049,S0011,C004,Q5,3,2026-03-01,78.4,22.2,0,2026-03-01,2026,3,March,1,6,Sunday,1,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00067,S0017,C002,Q8,1,2026-03-10,77.3,13.9,1,2026-03-10,2026,3,March,10,1,Tuesday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00068,S0009,C003,Q6,3,2026-03-10,77.2,43.5,1,2026-03-10,2026,3,March,10,1,Tuesday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00098,S0015,C004,Q7,2,2026-03-25,76.9,36.3,1,2026-03-25,2026,3,March,25,2,Wednesday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00033,S0014,C001,Q9,3,2026-02-21,76.7,30.8,1,2026-02-21,2026,2,February,21,5,Saturday,1,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00047,S0017,C004,Q8,2,2026-02-28,76.7,40.0,1,2026-02-28,2026,2,February,28,5,Saturday,1,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00016,S0001,C002,Q8,3,2026-02-12,76.1,33.5,1,2026-02-12,2026,2,February,12,3,Thursday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00007,S0017,C002,Q5,2,2026-02-08,76.0,17.9,0,2026-02-08,2026,2,February,8,6,Sunday,1,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00088,S0049,C001,Q3,2,2026-03-20,75.8,36.2,0,2026-03-20,2026,3,March,20,4,Friday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00072,S0042,C001,Q9,3,2026-03-12,74.1,28.5,1,2026-03-12,2026,3,March,12,3,Thursday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00008,S0008,C003,Q6,1,2026-02-08,73.2,25.3,1,2026-02-08,2026,2,February,8,6,Sunday,1,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00015,S0012,C002,Q1,1,2026-02-12,73.1,32.9,1,2026-02-12,2026,2,February,12,3,Thursday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00073,S0004,C002,Q7,3,2026-03-13,72.8,40.9,0,2026-03-13,2026,3,March,13,4,Friday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00080,S0033,C001,Q6,2,2026-03-16,72.3,19.6,1,2026-03-16,2026,3,March,16,0,Monday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00051,S0027,C004,Q6,3,2026-03-02,72.3,33.5,0,2026-03-02,2026,3,March,2,0,Monday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00031,S0004,C001,Q9,3,2026-02-20,71.6,24.8,0,2026-02-20,2026,2,February,20,4,Friday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00030,S0008,C002,Q6,1,2026-02-19,71.5,26.7,0,2026-02-19,2026,2,February,19,3,Thursday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00023,S0017,C001,Q2,1,2026-02-16,70.2,13.8,1,2026-02-16,2026,2,February,16,0,Monday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00050,S0026,C001,Q2,1,2026-03-01,69.9,33.2,1,2026-03-01,2026,3,March,1,6,Sunday,1,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00076,S0050,C002,Q3,2,2026-03-14,69.6,16.1,1,2026-03-14,2026,3,March,14,5,Saturday,1,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00074,S0020,C001,Q4,1,2026-03-13,69.3,36.6,1,2026-03-13,2026,3,March,13,4,Friday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00012,S0004,C001,Q8,3,2026-02-10,68.8,28.9,1,2026-02-10,2026,2,February,10,1,Tuesday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00075,S0035,C001,Q7,3,2026-03-14,68.1,34.8,1,2026-03-14,2026,3,March,14,5,Saturday,1,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00020,S0039,C002,Q9,3,2026-02-14,67.2,15.9,1,2026-02-14,2026,2,February,14,5,Saturday,1,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00054,S0024,C002,Q2,2,2026-03-03,65.5,24.9,0,2026-03-03,2026,3,March,3,1,Tuesday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00004,S0044,C003,Q1,2,2026-02-06,65.2,43.2,1,2026-02-06,2026,2,February,6,4,Friday,0,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00038,S0041,C003,Q5,3,2026-02-23,65.1,26.4,1,2026-02-23,2026,2,February,23,0,Monday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00056,S0019,C002,Q1,2,2026-03-04,64.3,27.7,1,2026-03-04,2026,3,March,4,2,Wednesday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00003,S0029,C003,Q7,3,2026-02-06,64.2,40.2,1,2026-02-06,2026,2,February,6,4,Friday,0,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00091,S0023,C002,Q1,3,2026-03-22,61.8,38.7,1,2026-03-22,2026,3,March,22,6,Sunday,1,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00087,S0048,C001,Q4,1,2026-03-20,60.9,37.4,1,2026-03-20,2026,3,March,20,4,Friday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00017,S0005,C003,Q7,3,2026-02-13,60.7,25.2,1,2026-02-13,2026,2,February,13,4,Friday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00085,S0010,C002,Q4,2,2026-03-19,60.3,12.4,0,2026-03-19,2026,3,March,19,3,Thursday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00100,S0037,C004,Q4,1,2026-03-26,60.1,19.5,0,2026-03-26,2026,3,March,26,3,Thursday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00095,S0024,C002,Q3,3,2026-03-24,59.8,26.4,1,2026-03-24,2026,3,March,24,1,Tuesday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00055,S0016,C004,Q9,3,2026-03-04,59.5,38.4,1,2026-03-04,2026,3,March,4,2,Wednesday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00019,S0043,C002,Q2,2,2026-02-14,59.4,35.3,1,2026-02-14,2026,2,February,14,5,Saturday,1,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00010,S0027,C001,Q2,3,2026-02-09,58.2,23.2,0,2026-02-09,2026,2,February,9,0,Monday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00084,S0020,C002,Q6,3,2026-03-18,57.9,34.7,1,2026-03-18,2026,3,March,18,2,Wednesday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00046,S0013,C004,Q4,1,2026-02-27,57.8,32.3,1,2026-02-27,2026,2,February,27,4,Friday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00093,S0031,C004,Q5,3,2026-03-23,57.7,22.6,1,2026-03-23,2026,3,March,23,0,Monday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00018,S0022,C002,Q5,1,2026-02-13,57.0,18.0,1,2026-02-13,2026,2,February,13,4,Friday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00065,S0038,C002,Q4,1,2026-03-09,56.3,41.3,0,2026-03-09,2026,3,March,9,0,Monday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00043,S0028,C001,Q9,1,2026-02-26,55.9,32.7,0,2026-02-26,2026,2,February,26,3,Thursday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00021,S0005,C002,Q4,3,2026-02-15,54.8,42.8,1,2026-02-15,2026,2,February,15,6,Sunday,1,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00058,S0011,C004,Q8,1,2026-03-05,54.7,26.1,1,2026-03-05,2026,3,March,5,3,Thursday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00077,S0043,C003,Q3,3,2026-03-15,54.5,22.5,1,2026-03-15,2026,3,March,15,6,Sunday,1,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00026,S0042,C003,Q3,2,2026-02-17,54.0,27.8,1,2026-02-17,2026,2,February,17,1,Tuesday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00078,S0007,C001,Q5,3,2026-03-15,53.9,26.7,1,2026-03-15,2026,3,March,15,6,Sunday,1,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00052,S0038,C004,Q3,3,2026-03-02,53.2,43.6,1,2026-03-02,2026,3,March,2,0,Monday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00094,S0012,C003,Q1,2,2026-03-23,53.2,16.2,1,2026-03-23,2026,3,March,23,0,Monday,0,13,13,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00044,S0037,C001,Q4,2,2026-02-26,53.0,37.4,1,2026-02-26,2026,2,February,26,3,Thursday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00092,S0010,C002,Q4,2,2026-03-22,52.5,18.4,1,2026-03-22,2026,3,March,22,6,Sunday,1,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00040,S0005,C001,Q5,3,2026-02-24,52.3,26.6,1,2026-02-24,2026,2,February,24,1,Tuesday,0,9,9,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00014,S0003,C003,Q7,2,2026-02-11,52.0,21.2,0,2026-02-11,2026,2,February,11,2,Wednesday,0,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00036,S0027,C003,Q9,1,2026-02-22,52.0,11.8,0,2026-02-22,2026,2,February,22,6,Sunday,1,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00032,S0044,C003,Q8,3,2026-02-20,51.8,12.3,1,2026-02-20,2026,2,February,20,4,Friday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00083,S0046,C001,Q3,2,2026-03-18,51.8,29.3,1,2026-03-18,2026,3,March,18,2,Wednesday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00006,S0005,C004,Q2,3,2026-02-07,51.2,13.2,1,2026-02-07,2026,2,February,7,5,Saturday,1,6,6,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
