student_id,registration_date,age,gender,education_level,device_type,target_course_id,completion_status,completion_date,reg_date,reg_year,reg_month,reg_month_name,reg_day,reg_weekday,reg_weekday_name,reg_is_weekend,reg_week,reg_week_number,age_outlier_class,age_is_outlier,reg_year_outlier_class,reg_year_is_outlier,reg_month_outlier_class,reg_month_is_outlier,reg_day_outlier_class,reg_day_is_outlier,reg_weekday_outlier_class,reg_weekday_is_outlier,reg_is_weekend_outlier_class,reg_is_weekend_is_outlier,reg_week_outlier_class,reg_week_is_outlier,reg_week_number_outlier_class,reg_week_number_is_outlier,course_id,course_title,category,total_modules,total_quizzes,estimated_duration_hours,difficulty_level,total_modules_outlier_class,total_modules_is_outlier,total_quizzes_outlier_class,total_quizzes_is_outlier,estimated_duration_hours_outlier_class,estimated_duration_hours_is_outlier,total_sessions,total_duration_minutes,total_active_minutes,total_idle_minutes,avg_session_duration,last_session_date,active_learning_ratio,total_quiz_attempts,quizzes_passed,quizzes_failed,avg_quiz_score,max_quiz_score,latest_quiz_date,quiz_pass_rate,progress_pct,tenure_weeks,average_session_duration,sessions_per_week,quiz_average,quiz_attempt_count,course_progress,progress_velocity,days_since_last_activity,completion_rate,learning_consistency,engagement_score,dropout_risk_score,dropout_risk_level
S0011,2026-01-03,32,Other,High School,Mobile,C002,Completed,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,1.0,72.83,85.4,2026-03-06,66.67,40.0,11.71,0.0,0.0,72.83,3,40.0,3.42,20,1.0,0.0,28.67,46.16,Moderate
S0012,2026-01-03,44,Other,Postgraduate,Tablet,C003,Dropped,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,3.0,180.0,147.4,39.2,60.0,2026-03-06 18:00:00,0.819,2.0,2.0,0.0,63.15,73.1,2026-03-23,100.0,25.0,11.71,60.0,0.26,63.15,2,25.0,2.13,3,0.0,0.404,50.5,26.32,Moderate
S0013,2026-01-04,37,Female,Undergraduate,Desktop,C004,In Progress,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,2.0,120.0,74.8,31.3,60.0,2026-03-06 00:00:00,0.623,2.0,1.0,1.0,69.55,81.3,2026-03-26,50.0,25.0,11.57,60.0,0.17,69.55,2,25.0,2.16,0,0.0,0.301,33.52,33.24,Moderate
S0014,2026-01-04,38,Other,Undergraduate,Desktop,C002,In Progress,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,2.0,120.0,81.5,36.7,60.0,2026-02-16 12:00:00,0.679,2.0,2.0,0.0,83.2,89.7,2026-02-21,100.0,40.0,11.57,60.0,0.17,83.2,2,40.0,3.46,33,0.0,0.323,51.64,38.18,Moderate
S0015,2026-01-04,37,Female,Undergraduate,Desktop,C003,Completed,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,6.0,360.0,409.0,49.2,60.0,2026-03-09 00:00:00,1.136,2.0,1.0,1.0,80.15,83.4,2026-03-25,50.0,12.5,11.57,60.0,0.52,80.15,2,12.5,1.08,1,1.0,0.556,39.5,30.78,Moderate
S0016,2026-01-04,39,Male,Undergraduate,Mobile,C002,In Progress,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,4.0,240.0,254.2,37.5,60.0,2026-02-25 00:00:00,1.059,2.0,2.0,0.0,72.0,84.5,2026-03-04,100.0,40.0,11.57,60.0,0.35,72.0,2,40.0,3.46,22,0.0,0.504,59.19,31.96,Moderate
S0017,2026-01-05,31,Other,High School,Desktop,C001,In Progress,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,3.0,180.0,227.9,33.0,60.0,2026-03-07 00:00:00,1.266,4.0,3.0,1.0,75.05,77.3,2026-03-10,75.0,50.0,11.43,60.0,0.26,75.05,4,50.0,4.37,16,0.0,0.479,55.38,30.71,Moderate
S0018,2026-01-05,21,Female,High School,Laptop,C001,Dropped,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,82.6,82.6,2026-02-18,100.0,16.67,11.43,0.0,0.0,82.6,1,16.67,1.46,36,0.0,0.0,30.0,49.0,Moderate
S0019,2026-01-05,40,Male,High School,Desktop,C002,In Progress,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,4.0,240.0,273.3,53.1,60.0,2026-03-09 18:00:00,1.139,1.0,1.0,0.0,64.3,64.3,2026-03-04,100.0,20.0,11.43,60.0,0.35,64.3,1,20.0,1.75,16,0.0,0.505,53.19,31.8,Moderate
S0020,2026-01-05,30,Female,High School,Laptop,C004,In Progress,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,1.0,60.0,68.4,16.2,60.0,2026-02-23 06:00:00,1.14,3.0,3.0,0.0,73.03,91.9,2026-03-18,100.0,75.0,11.43,60.0,0.09,73.03,3,75.0,6.56,8,0.0,0.426,68.06,20.17,Low
S0021,2026-01-06,31,Other,Undergraduate,Laptop,C001,Completed,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,4.0,240.0,222.5,34.1,60.0,2026-03-09 06:00:00,0.927,1.0,0.0,1.0,98.2,98.2,2026-03-05,0.0,0.0,11.29,60.0,0.35,98.2,1,0.0,0.0,16,1.0,0.477,20.73,51.04,High
S0022,2026-01-06,28,Male,Postgraduate,Laptop,C002,Completed,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,5.0,300.0,360.0,40.1,60.0,2026-03-10 06:00:00,1.2,2.0,2.0,0.0,76.9,96.8,2026-02-25,100.0,40.0,11.29,60.0,0.44,76.9,2,40.0,3.54,15,1.0,0.533,59.75,28.0,Moderate
S0023,2026-01-06,22,Female,Undergraduate,Mobile,C003,In Progress,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,1.0,75.9,85.3,2026-03-22,66.67,25.0,11.29,0.0,0.0,75.9,3,25.0,2.21,4,0.0,0.0,24.17,40.02,Moderate
S0024,2026-01-06,43,Male,Undergraduate,Tablet,C001,In Progress,,2026-01-06,2026,1,January,6,1,Tuesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,3.0,180.0,216.3,42.8,60.0,2026-03-06 12:00:00,1.202,2.0,1.0,1.0,62.65,65.5,2026-03-24,50.0,16.67,11.29,60.0,0.27,62.65,2,16.67,1.48,2,0.0,0.48,39.19,31.46,Moderate
S0025,2026-01-07,39,Other,Postgraduate,Tablet,C003,Completed,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,3.0,180.0,143.8,25.6,60.0,2026-02-26 12:00:00,0.799,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.14,60.0,0.27,0.0,0,0.0,0.0,27,1.0,0.4,17.67,58.16,High
S0026,2026-01-07,35,Female,Undergraduate,Desktop,C002,Dropped,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,4.0,240.0,226.4,56.1,60.0,2026-02-24 12:00:00,0.943,2.0,1.0,1.0,75.4,80.9,2026-03-01,50.0,20.0,11.14,60.0,0.36,75.4,2,20.0,1.8,25,0.0,0.485,39.61,43.32,Moderate
S0027,2026-01-07,28,Male,High School,Tablet,C004,Dropped,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,3.0,180.0,213.9,31.6,60.0,2026-03-07 06:00:00,1.188,3.0,0.0,3.0,60.83,72.3,2026-03-02,0.0,0.0,11.14,60.0,0.27,60.83,3,0.0,0.0,18,0.0,0.481,21.69,51.6,High
S0028,2026-01-07,40,Male,Postgraduate,Laptop,C003,Completed,,2026-01-07,2026,1,January,7,2,Wednesday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,1.0,60.0,54.9,7.6,60.0,2026-02-27 06:00:00,0.915,2.0,1.0,1.0,76.9,97.9,2026-02-26,50.0,12.5,11.14,60.0,0.09,76.9,2,12.5,1.12,26,1.0,0.393,35.11,46.1,Moderate
S0029,2026-01-08,32,Female,Undergraduate,Mobile,C003,In Progress,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,1.0,60.0,31.9,14.1,60.0,2026-02-22 12:00:00,0.532,1.0,1.0,0.0,64.2,64.2,2026-02-06,100.0,12.5,11.0,60.0,0.09,64.2,1,12.5,1.14,31,0.0,0.24,39.95,44.02,Moderate
S0030,2026-01-08,29,Other,Undergraduate,Tablet,C001,Completed,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,4.0,240.0,167.7,49.9,60.0,2026-03-02 06:00:00,0.699,1.0,0.0,1.0,91.7,91.7,2026-02-27,0.0,0.0,11.0,60.0,0.36,91.7,1,0.0,0.0,23,1.0,0.389,16.23,56.96,High
S0031,2026-01-08,30,Other,Undergraduate,Mobile,C002,In Progress,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,2.0,120.0,57.0,22.5,60.0,2026-03-08 18:00:00,0.475,1.0,1.0,0.0,57.7,57.7,2026-03-23,100.0,20.0,11.0,60.0,0.18,57.7,1,20.0,1.82,3,0.0,0.245,41.62,30.76,Moderate
S0032,2026-01-08,24,Female,Undergraduate,Laptop,C004,Completed,,2026-01-08,2026,1,January,8,3,Thursday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,2.0,120.0,85.2,21.1,60.0,2026-03-04 00:00:00,0.71,1.0,1.0,0.0,93.4,93.4,2026-03-06,100.0,25.0,11.0,60.0,0.18,93.4,1,25.0,2.27,20,1.0,0.339,47.82,36.59,Moderate
S0033,2026-01-09,20,Male,High School,Desktop,C001,In Progress,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,1.0,83.15,91.5,2026-03-24,75.0,50.0,10.86,0.0,0.0,83.15,4,50.0,4.6,2,0.0,0.0,33.75,34.17,Moderate
S0034,2026-01-09,32,Other,Undergraduate,Tablet,C004,In Progress,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,4.0,240.0,263.2,31.0,60.0,2026-03-05 00:00:00,1.097,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.86,60.0,0.37,0.0,0,0.0,0.0,21,0.0,0.51,22.31,52.87,High
S0035,2026-01-09,41,Female,Postgraduate,Desktop,C002,In Progress,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,1.0,60.0,45.3,15.4,60.0,2026-02-18 18:00:00,0.755,1.0,1.0,0.0,68.1,68.1,2026-03-14,100.0,20.0,10.86,60.0,0.09,68.1,1,20.0,1.84,12,0.0,0.33,46.66,32.97,Moderate
S0036,2026-01-09,19,Other,High School,Desktop,C003,Completed,,2026-01-09,2026,1,January,9,4,Friday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,2.0,120.0,98.4,16.4,60.0,2026-02-20 18:00:00,0.82,1.0,1.0,0.0,98.4,98.4,2026-03-03,100.0,12.5,10.86,60.0,0.18,98.4,1,12.5,1.15,23,1.0,0.383,46.28,38.94,Moderate
S0037,2026-01-10,41,Male,Undergraduate,Laptop,C003,Dropped,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,4.0,240.0,227.9,59.8,60.0,2026-03-03 00:00:00,0.95,2.0,1.0,1.0,56.55,60.1,2026-03-26,50.0,12.5,10.71,60.0,0.37,56.55,2,12.5,1.17,0,0.0,0.492,37.56,31.22,Moderate
S0038,2026-01-10,40,Male,High School,Desktop,C002,Completed,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,5.0,300.0,213.4,41.9,60.0,2026-03-08 12:00:00,0.711,5.0,4.0,1.0,80.56,98.8,2026-03-09,80.0,80.0,10.71,60.0,0.47,80.56,5,80.0,7.47,17,1.0,0.424,61.16,28.34,Moderate
S0039,2026-01-10,25,Other,Undergraduate,Laptop,C002,Completed,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,4.0,240.0,293.0,48.8,60.0,2026-03-07 12:00:00,1.221,1.0,1.0,0.0,67.2,67.2,2026-02-14,100.0,20.0,10.71,60.0,0.37,67.2,1,20.0,1.87,18,1.0,0.512,53.31,32.8,Moderate
S0040,2026-01-10,35,Other,Undergraduate,Desktop,C003,In Progress,,2026-01-10,2026,1,January,10,5,Saturday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,2.0,120.0,128.9,9.6,60.0,2026-03-06 06:00:00,1.074,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.71,60.0,0.19,0.0,0,0.0,0.0,19,0.0,0.456,21.19,52.38,High
S0041,2026-01-11,22,Female,Postgraduate,Tablet,C001,Completed,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,2.0,120.0,99.6,12.8,60.0,2026-03-03 06:00:00,0.83,1.0,1.0,0.0,65.1,65.1,2026-02-23,100.0,16.67,10.57,60.0,0.19,65.1,1,16.67,1.58,22,1.0,0.389,47.79,37.66,Moderate
S0042,2026-01-11,38,Other,High School,Tablet,C003,Dropped,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,3.0,180.0,157.1,29.5,60.0,2026-03-05 18:00:00,0.873,3.0,3.0,0.0,75.93,99.7,2026-03-12,100.0,37.5,10.57,60.0,0.28,75.93,3,37.5,3.55,14,0.0,0.434,55.46,29.62,Moderate
S0043,2026-01-11,36,Other,High School,Tablet,C001,Dropped,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C001,Python for Data Science,Data Science,12,6,24.0,Beginner,Normal,0,Normal,0,Normal,0,3.0,180.0,172.1,20.7,60.0,2026-03-04 12:00:00,0.956,2.0,2.0,0.0,56.95,59.4,2026-03-15,100.0,33.33,10.57,60.0,0.28,56.95,2,33.33,3.15,11,0.0,0.468,55.87,27.84,Moderate
S0044,2026-01-11,27,Female,Undergraduate,Desktop,C003,Completed,,2026-01-11,2026,1,January,11,6,Sunday,1,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,3.0,180.0,188.2,17.7,60.0,2026-03-08 06:00:00,1.046,4.0,4.0,0.0,78.68,98.9,2026-03-21,100.0,50.0,10.57,60.0,0.28,78.68,4,50.0,4.73,5,1.0,0.485,61.75,21.75,Low
S0045,2026-01-12,19,Other,Postgraduate,Mobile,C003,Dropped,,2026-01-12,2026,1,January,12,0,Monday,0,3,3,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,5.0,300.0,268.5,38.8,60.0,2026-02-10 12:00:00,0.895,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.43,60.0,0.48,0.0,0,0.0,0.0,43,0.0,0.502,20.9,56.55,High
